WKT,name,description
POINT (7.6742649 45.041488),Molinette Hospital,
POINT (7.6779744 45.0407817),start buffer,
POINT (7.6790365 45.0421918),Point 2,
POINT (7.6804313 45.042893),Point 3,
POINT (7.6822679 45.043571),Point 4,
POINT (7.6842635 45.0444352),Point 5,
POINT (7.6852934 45.0458452),Point 6,
POINT (7.6859249 45.0477445),Point 7,
POINT (7.6865686 45.0501398),Point 8,
POINT (7.6878847 45.0535557),Point 9,
POINT (7.6909787 45.0568721),Point 10,
POINT (7.6930816 45.0595853),Point 11,
POINT (7.6965082 45.0628544),Point 12,
POINT (7.6999414 45.0653703),Point 13,
POINT (7.7041709 45.0671623),Point 14,
POINT (7.7073895 45.0680868),Point 15,
POINT (7.710458 45.0688445),Point 16,
POINT (7.7145564 45.0693749),Point 17,
POINT (7.7177536 45.0699205),Point 18,
POINT (7.7219593 45.0705721),Point 19,
POINT (7.7247273 45.0715723),Point 20,
POINT (7.7267658 45.0729058),Point 21,
POINT (7.7279954 45.074872),Point 22,
POINT (7.7269225 45.0776904),Point 23,
POINT (7.7243047 45.0802056),Point 24,
POINT (7.7226739 45.0823268),Point 25,
POINT (7.7210002 45.0848115),Point 26,
POINT (7.7204423 45.0909623),Point 28,
POINT (7.7200132 45.087175),Point 27,
POINT (7.7227181 45.0932823),Point 31,
POINT (7.7251643 45.0941306),Point 32,
POINT (7.7240485 45.0961604),Point 33,
POINT (7.7206904 45.0986369),Point 34,
POINT (7.7151114 45.0978417),Point 35,
POINT (7.7123326 45.0980311),Point 36,
POINT (7.7073938 45.0979818),Point 37,
POINT (7.7007871 45.097597),San Giovanni Bosco Hospital,
